# The kernel record, read by `rudb-bench kernels --check`.
#
# One block per machine. Written by `rudb-bench kernels --record`, which runs `cargo xtask kernels
# --json` in a rudb checkout and stores what it said. The numbers are nanoseconds per row and every
# machine has its own, so a block is only ever compared against a later block from the same machine.
#
# A cell line is the table, the case, the detail, the form pair or stage, the null percentage, the
# rows the time was divided by, nanoseconds per row, the interquartile range as a percentage of the
# median, and whether a specialized loop ran or the row at a time path did. Separated by pipes
# because a case name has spaces in it and a column layout that breaks on the first one is a file
# format that works until somebody adds a case.
#
# This is also the committed form of the compaction surface, which sub-milestone 2b asks for by
# name: the rows whose table is `compaction` are it.
#
# Rule ten applies here as everywhere. Nothing in this file times a query, so nothing in it is a
# result on its own.

[kernels]
machine   gamingpc-wsl
rudb      0.2.2 6e78afa
recorded  2026-09-11
cell      comparison | Bool | BOOLEAN | flat/flat | 0 | 1024 | 0.0544 | 0.8 | kernel
cell      comparison | Bool | BOOLEAN | flat/const | 0 | 1024 | 0.0705 | 0.4 | kernel
cell      comparison | Bool | BOOLEAN | const/flat | 0 | 1024 | 0.0700 | 1.2 | kernel
cell      comparison | Bool | BOOLEAN | dict/const | 0 | 1024 | 0.4141 | 1.6 | kernel
cell      comparison | Bool | BOOLEAN | dict/flat | 0 | 1024 | 0.4815 | 0.5 | kernel
cell      comparison | Bool | BOOLEAN | flat/flat | 1 | 1024 | 0.5090 | 1.4 | kernel
cell      comparison | Bool | BOOLEAN | flat/const | 1 | 1024 | 0.5151 | 0.1 | kernel
cell      comparison | Bool | BOOLEAN | const/flat | 1 | 1024 | 0.5153 | 0.2 | kernel
cell      comparison | Bool | BOOLEAN | dict/const | 1 | 1024 | 0.4114 | 1.9 | kernel
cell      comparison | Bool | BOOLEAN | dict/flat | 1 | 1024 | 0.9296 | 0.1 | kernel
cell      comparison | Bool | BOOLEAN | flat/flat | 50 | 1024 | 0.4819 | 0.3 | kernel
cell      comparison | Bool | BOOLEAN | flat/const | 50 | 1024 | 0.4896 | 0.2 | kernel
cell      comparison | Bool | BOOLEAN | const/flat | 50 | 1024 | 0.4913 | 0.1 | kernel
cell      comparison | Bool | BOOLEAN | dict/const | 50 | 1024 | 0.4168 | 0.2 | kernel
cell      comparison | Bool | BOOLEAN | dict/flat | 50 | 1024 | 0.8898 | 1.5 | kernel
cell      comparison | Int8 | TINYINT | flat/flat | 0 | 1024 | 0.0536 | 1.8 | kernel
cell      arithmetic | Int8 | TINYINT | flat/flat | 0 | 1024 | 0.3976 | 2.1 | kernel
cell      comparison | Int8 | TINYINT | flat/const | 0 | 1024 | 0.0763 | 1.4 | kernel
cell      arithmetic | Int8 | TINYINT | flat/const | 0 | 1024 | 0.3230 | 0.6 | kernel
cell      comparison | Int8 | TINYINT | const/flat | 0 | 1024 | 0.0697 | 0.9 | kernel
cell      arithmetic | Int8 | TINYINT | const/flat | 0 | 1024 | 0.3632 | 1.4 | kernel
cell      comparison | Int8 | TINYINT | dict/const | 0 | 1024 | 0.4168 | 0.1 | kernel
cell      arithmetic | Int8 | TINYINT | dict/const | 0 | 1024 | 0.4116 | 2.0 | kernel
cell      comparison | Int8 | TINYINT | dict/flat | 0 | 1024 | 0.4808 | 1.2 | kernel
cell      arithmetic | Int8 | TINYINT | dict/flat | 0 | 1024 | 0.4841 | 1.8 | kernel
cell      comparison | Int8 | TINYINT | flat/flat | 1 | 1024 | 0.5072 | 0.3 | kernel
cell      arithmetic | Int8 | TINYINT | flat/flat | 1 | 1024 | 0.8692 | 0.3 | kernel
cell      comparison | Int8 | TINYINT | flat/const | 1 | 1024 | 0.5204 | 1.7 | kernel
cell      arithmetic | Int8 | TINYINT | flat/const | 1 | 1024 | 0.7938 | 0.6 | kernel
cell      comparison | Int8 | TINYINT | const/flat | 1 | 1024 | 0.5148 | 1.4 | kernel
cell      arithmetic | Int8 | TINYINT | const/flat | 1 | 1024 | 0.8227 | 1.5 | kernel
cell      comparison | Int8 | TINYINT | dict/const | 1 | 1024 | 0.4148 | 1.9 | kernel
cell      arithmetic | Int8 | TINYINT | dict/const | 1 | 1024 | 0.4202 | 0.2 | kernel
cell      comparison | Int8 | TINYINT | dict/flat | 1 | 1024 | 0.9312 | 0.2 | kernel
cell      arithmetic | Int8 | TINYINT | dict/flat | 1 | 1024 | 0.9338 | 1.4 | kernel
cell      comparison | Int8 | TINYINT | flat/flat | 50 | 1024 | 0.4826 | 0.5 | kernel
cell      arithmetic | Int8 | TINYINT | flat/flat | 50 | 1024 | 0.8311 | 1.5 | kernel
cell      comparison | Int8 | TINYINT | flat/const | 50 | 1024 | 0.4839 | 0.5 | kernel
cell      arithmetic | Int8 | TINYINT | flat/const | 50 | 1024 | 0.7425 | 0.1 | kernel
cell      comparison | Int8 | TINYINT | const/flat | 50 | 1024 | 0.4901 | 1.8 | kernel
cell      arithmetic | Int8 | TINYINT | const/flat | 50 | 1024 | 0.7928 | 2.3 | kernel
cell      comparison | Int8 | TINYINT | dict/const | 50 | 1024 | 0.4164 | 1.8 | kernel
cell      arithmetic | Int8 | TINYINT | dict/const | 50 | 1024 | 0.4189 | 0.2 | kernel
cell      comparison | Int8 | TINYINT | dict/flat | 50 | 1024 | 0.9041 | 0.9 | kernel
cell      arithmetic | Int8 | TINYINT | dict/flat | 50 | 1024 | 0.9033 | 1.9 | kernel
cell      comparison | Int16 | SMALLINT | flat/flat | 0 | 1024 | 0.0594 | 1.6 | kernel
cell      arithmetic | Int16 | SMALLINT | flat/flat | 0 | 1024 | 0.4335 | 6.9 | kernel
cell      comparison | Int16 | SMALLINT | flat/const | 0 | 1024 | 0.0788 | 4.0 | kernel
cell      arithmetic | Int16 | SMALLINT | flat/const | 0 | 1024 | 0.3686 | 2.2 | kernel
cell      comparison | Int16 | SMALLINT | const/flat | 0 | 1024 | 0.0780 | 3.0 | kernel
cell      arithmetic | Int16 | SMALLINT | const/flat | 0 | 1024 | 0.3359 | 1.9 | kernel
cell      comparison | Int16 | SMALLINT | dict/const | 0 | 1024 | 0.4169 | 1.9 | kernel
cell      arithmetic | Int16 | SMALLINT | dict/const | 0 | 1024 | 0.4270 | 1.9 | kernel
cell      comparison | Int16 | SMALLINT | dict/flat | 0 | 1024 | 0.4815 | 0.8 | kernel
cell      arithmetic | Int16 | SMALLINT | dict/flat | 0 | 1024 | 0.4914 | 0.2 | kernel
cell      comparison | Int16 | SMALLINT | flat/flat | 1 | 1024 | 0.5064 | 0.4 | kernel
cell      arithmetic | Int16 | SMALLINT | flat/flat | 1 | 1024 | 0.9036 | 1.0 | kernel
cell      comparison | Int16 | SMALLINT | flat/const | 1 | 1024 | 0.5264 | 0.7 | kernel
cell      arithmetic | Int16 | SMALLINT | flat/const | 1 | 1024 | 0.8170 | 0.9 | kernel
cell      comparison | Int16 | SMALLINT | const/flat | 1 | 1024 | 0.5219 | 0.6 | kernel
cell      arithmetic | Int16 | SMALLINT | const/flat | 1 | 1024 | 0.8100 | 0.5 | kernel
cell      comparison | Int16 | SMALLINT | dict/const | 1 | 1024 | 0.4171 | 0.2 | kernel
cell      arithmetic | Int16 | SMALLINT | dict/const | 1 | 1024 | 0.4271 | 0.4 | kernel
cell      comparison | Int16 | SMALLINT | dict/flat | 1 | 1024 | 0.9256 | 0.9 | kernel
cell      arithmetic | Int16 | SMALLINT | dict/flat | 1 | 1024 | 0.9561 | 0.3 | kernel
cell      comparison | Int16 | SMALLINT | flat/flat | 50 | 1024 | 0.4821 | 1.2 | kernel
cell      arithmetic | Int16 | SMALLINT | flat/flat | 50 | 1024 | 0.9117 | 1.5 | kernel
cell      comparison | Int16 | SMALLINT | flat/const | 50 | 1024 | 0.4975 | 1.4 | kernel
cell      arithmetic | Int16 | SMALLINT | flat/const | 50 | 1024 | 0.8635 | 1.5 | kernel
cell      comparison | Int16 | SMALLINT | const/flat | 50 | 1024 | 0.4884 | 0.2 | kernel
cell      arithmetic | Int16 | SMALLINT | const/flat | 50 | 1024 | 0.7757 | 2.3 | kernel
cell      comparison | Int16 | SMALLINT | dict/const | 50 | 1024 | 0.4112 | 2.1 | kernel
cell      arithmetic | Int16 | SMALLINT | dict/const | 50 | 1024 | 0.4390 | 1.8 | kernel
cell      comparison | Int16 | SMALLINT | dict/flat | 50 | 1024 | 0.8870 | 2.2 | kernel
cell      arithmetic | Int16 | SMALLINT | dict/flat | 50 | 1024 | 0.9237 | 0.9 | kernel
cell      comparison | Int32 | INTEGER | flat/flat | 0 | 1024 | 0.1216 | 0.8 | kernel
cell      arithmetic | Int32 | INTEGER | flat/flat | 0 | 1024 | 0.4091 | 0.4 | kernel
cell      comparison | Int32 | INTEGER | flat/const | 0 | 1024 | 0.1368 | 0.2 | kernel
cell      arithmetic | Int32 | INTEGER | flat/const | 0 | 1024 | 0.3812 | 2.2 | kernel
cell      comparison | Int32 | INTEGER | const/flat | 0 | 1024 | 0.1351 | 1.0 | kernel
cell      arithmetic | Int32 | INTEGER | const/flat | 0 | 1024 | 0.3680 | 1.0 | kernel
cell      comparison | Int32 | INTEGER | dict/const | 0 | 1024 | 0.4091 | 2.0 | kernel
cell      arithmetic | Int32 | INTEGER | dict/const | 0 | 1024 | 0.4391 | 0.4 | kernel
cell      comparison | Int32 | INTEGER | dict/flat | 0 | 1024 | 0.4803 | 1.4 | kernel
cell      arithmetic | Int32 | INTEGER | dict/flat | 0 | 1024 | 0.4978 | 1.3 | kernel
cell      comparison | Int32 | INTEGER | flat/flat | 1 | 1024 | 0.5688 | 0.5 | kernel
cell      arithmetic | Int32 | INTEGER | flat/flat | 1 | 1024 | 0.8780 | 0.3 | kernel
cell      comparison | Int32 | INTEGER | flat/const | 1 | 1024 | 0.5769 | 0.3 | kernel
cell      arithmetic | Int32 | INTEGER | flat/const | 1 | 1024 | 0.8121 | 2.0 | kernel
cell      comparison | Int32 | INTEGER | const/flat | 1 | 1024 | 0.5768 | 1.4 | kernel
cell      arithmetic | Int32 | INTEGER | const/flat | 1 | 1024 | 0.8324 | 1.3 | kernel
cell      comparison | Int32 | INTEGER | dict/const | 1 | 1024 | 0.4077 | 0.2 | kernel
cell      arithmetic | Int32 | INTEGER | dict/const | 1 | 1024 | 0.4234 | 0.1 | kernel
cell      comparison | Int32 | INTEGER | dict/flat | 1 | 1024 | 0.9289 | 0.2 | kernel
cell      arithmetic | Int32 | INTEGER | dict/flat | 1 | 1024 | 0.9418 | 0.6 | kernel
cell      comparison | Int32 | INTEGER | flat/flat | 50 | 1024 | 0.5446 | 0.3 | kernel
cell      arithmetic | Int32 | INTEGER | flat/flat | 50 | 1024 | 0.8393 | 0.0 | kernel
cell      comparison | Int32 | INTEGER | flat/const | 50 | 1024 | 0.5440 | 1.6 | kernel
cell      arithmetic | Int32 | INTEGER | flat/const | 50 | 1024 | 0.7663 | 2.8 | kernel
cell      comparison | Int32 | INTEGER | const/flat | 50 | 1024 | 0.5511 | 0.2 | kernel
cell      arithmetic | Int32 | INTEGER | const/flat | 50 | 1024 | 0.7851 | 1.1 | kernel
cell      comparison | Int32 | INTEGER | dict/const | 50 | 1024 | 0.4177 | 1.1 | kernel
cell      arithmetic | Int32 | INTEGER | dict/const | 50 | 1024 | 0.4337 | 0.2 | kernel
cell      comparison | Int32 | INTEGER | dict/flat | 50 | 1024 | 0.8991 | 1.8 | kernel
cell      arithmetic | Int32 | INTEGER | dict/flat | 50 | 1024 | 0.9145 | 0.2 | kernel
cell      comparison | Int64 | BIGINT | flat/flat | 0 | 1024 | 0.4557 | 1.7 | kernel
cell      arithmetic | Int64 | BIGINT | flat/flat | 0 | 1024 | 0.4196 | 0.3 | kernel
cell      comparison | Int64 | BIGINT | flat/const | 0 | 1024 | 0.4547 | 0.8 | kernel
cell      arithmetic | Int64 | BIGINT | flat/const | 0 | 1024 | 0.3549 | 0.4 | kernel
cell      comparison | Int64 | BIGINT | const/flat | 0 | 1024 | 0.4549 | 0.4 | kernel
cell      arithmetic | Int64 | BIGINT | const/flat | 0 | 1024 | 0.3537 | 0.4 | kernel
cell      comparison | Int64 | BIGINT | dict/const | 0 | 1024 | 0.4164 | 1.9 | kernel
cell      arithmetic | Int64 | BIGINT | dict/const | 0 | 1024 | 0.4419 | 2.0 | kernel
cell      comparison | Int64 | BIGINT | dict/flat | 0 | 1024 | 0.4751 | 0.9 | kernel
cell      arithmetic | Int64 | BIGINT | dict/flat | 0 | 1024 | 0.5097 | 1.3 | kernel
