query,try,seconds
1,1,0.000296402
1,2,0.000272067
1,3,0.000268187
2,1,1.835913617
2,2,0.048636536
2,3,0.043941835
3,1,1.627221711
3,2,0.060030390
3,3,0.050066695
4,1,2.058754010
4,2,0.056224767
4,3,0.047917178
5,1,2.337158921
5,2,0.540916857
5,3,0.523049407
6,1,0.024348183
6,2,0.017187309
6,3,0.017663240
7,1,0.000359558
7,2,0.000368534
7,3,0.000389932
8,1,1.703497764
8,2,0.055908017
8,3,0.047377140
9,1,3.132429126
9,2,0.838734529
9,3,0.833854027
10,1,3.249219226
10,2,0.739180115
10,3,0.736742546
11,1,2.541507297
11,2,0.146947214
11,3,0.139230411
12,1,2.821840181
12,2,0.176447941
12,3,0.177052798
13,1,2.105156840
13,2,0.161771898
13,3,0.174392483
14,1,2.720937292
14,2,0.705591198
14,3,0.691494567
15,1,2.373279906
15,2,0.545333821
15,3,0.550197040
16,1,0.000622595
16,2,0.000699969
16,3,0.000634525
17,1,3.034685807
17,2,0.880119115
17,3,0.869963878
18,1,2.573720471
18,2,1.009618931
18,3,0.985548073
19,1,3.796924560
19,2,1.072754233
19,3,1.064529611
20,1,1.698324331
20,2,0.078384772
20,3,0.066742642
21,1,3.920822079
21,2,2.691138492
21,3,2.694592417
22,1,4.321621841
22,2,2.524540590
22,3,2.551837252
23,1,4.441155079
23,2,1.569287490
23,3,1.498342843
24,1,4.364037266
24,2,2.522163461
24,3,2.504777938
25,1,2.469567747
25,2,0.144923868
25,3,0.135712490
26,1,2.016359846
26,2,0.334393654
26,3,0.344659326
27,1,2.552147116
27,2,0.149250751
27,3,0.134021878
28,1,4.351280279
28,2,2.652671982
28,3,2.674773077
29,1,4.414066787
29,2,3.856546942
29,3,3.917184843
30,1,1.413518252
30,2,0.048644714
30,3,0.043355613
31,1,3.964192087
31,2,0.611278242
31,3,0.606971285
32,1,4.025830428
32,2,0.430408227
32,3,0.420591745
33,1,4.061041574
33,2,1.528766866
33,3,1.492532147
34,1,0.123396767
34,2,0.061606650
34,3,0.062815713
35,1,0.117621642
35,2,0.061459790
35,3,0.061223089
36,1,0.000674114
36,2,0.000657035
36,3,0.000679921
37,1,0.236587796
37,2,0.182389339
37,3,0.167997897
38,1,0.165582074
38,2,0.095243057
38,3,0.084573918
39,1,0.289822388
39,2,0.197027912
39,3,0.181771768
40,1,0.509572874
40,2,0.403999261
40,3,0.420268584
41,1,0.122069704
41,2,0.036531449
41,3,0.035616409
42,1,0.132786805
42,2,0.042486039
42,3,0.035522630
43,1,0.100584946
43,2,0.033574665
43,3,0.029432865
