query,try,seconds
1,1,0.000288307
1,2,0.000283841
1,3,0.000275194
2,1,1.081327193
2,2,0.050468028
2,3,0.042902177
3,1,1.716305265
3,2,0.056864108
3,3,0.049142729
4,1,1.991945535
4,2,0.056931931
4,3,0.047644091
5,1,2.443444451
5,2,0.529665849
5,3,0.556707571
6,1,0.021359307
6,2,0.017565315
6,3,0.017380562
7,1,0.000347883
7,2,0.000321578
7,3,0.000729931
8,1,1.069166394
8,2,0.051810386
8,3,0.046277373
9,1,3.297543989
9,2,0.830677636
9,3,0.815758596
10,1,3.213589485
10,2,0.745545428
10,3,0.731097913
11,1,2.539904560
11,2,0.153991335
11,3,0.143597872
12,1,2.770005306
12,2,0.174242503
12,3,0.157211473
13,1,1.943717584
13,2,0.164609703
13,3,0.170119460
14,1,2.766831201
14,2,0.694938048
14,3,0.690226882
15,1,2.348613654
15,2,0.554553462
15,3,0.542920855
16,1,0.000610479
16,2,0.000668045
16,3,0.000604784
17,1,3.173789569
17,2,0.876704834
17,3,0.893526144
18,1,2.513811334
18,2,1.004469863
18,3,0.990174186
19,1,3.738009182
19,2,1.089100584
19,3,1.087690484
20,1,1.776019546
20,2,0.076381958
20,3,0.065078050
21,1,2.827266179
21,2,1.155329819
21,3,1.211967860
22,1,3.632714913
22,2,1.131866576
22,3,1.132560650
23,1,4.465320243
23,2,1.043411272
23,3,1.005891094
24,1,3.344059151
24,2,1.297769586
24,3,1.273469578
25,1,2.582967033
25,2,0.168361232
25,3,0.144117644
26,1,2.060488016
26,2,0.383318193
26,3,0.391437757
27,1,2.503976065
27,2,0.150649222
27,3,0.135926747
28,1,3.449336692
28,2,1.243753212
28,3,1.222838786
29,1,4.371866537
29,2,3.741930655
29,3,3.754101647
30,1,1.360469898
30,2,0.048789524
30,3,0.043472747
31,1,3.901446579
31,2,0.634874347
31,3,0.625676306
32,1,4.079012556
32,2,0.394725649
32,3,0.407554778
33,1,4.182996779
33,2,1.505338124
33,3,1.489969501
34,1,0.201815393
34,2,0.092783794
34,3,0.089126750
35,1,0.200994983
35,2,0.092469022
35,3,0.091899626
36,1,0.000668096
36,2,0.000690391
36,3,0.000635864
37,1,0.210865626
37,2,0.182257792
37,3,0.188192057
38,1,0.226298230
38,2,0.092058263
38,3,0.095429812
39,1,0.314429858
39,2,0.213139697
39,3,0.200236969
40,1,0.494880772
40,2,0.435428300
40,3,0.444478104
41,1,0.135535387
41,2,0.037988081
41,3,0.032169141
42,1,0.125734792
42,2,0.040603382
42,3,0.036785219
43,1,0.097945739
43,2,0.032511816
43,3,0.030565042
