query	cold_ms	hot_median_ms	hot_iqr_ms	samples_ms	answer
1a	247.0	77.0	16.5	247,77,83,95,74,71	(A Warner Bros.-First National Picture) (presents)|A Clockwork Orange|1934
1b	174.0	37.0	6.5	174,40,31,39,37,35	(Set Decoration Rentals) (uncredited)|Disaster Movie|2008
1c	171.0	39.0	16.0	171,66,39,39,39,34	(co-production)|Intouchables|2011
1d	116.0	33.0	8.0	116,40,37,33,30,31	(Set Decoration Rentals) (uncredited)|Disaster Movie|2004
2a	690.0	232.0	19.5	690,224,233,211,232,241	'Doc'
2b	583.0	246.0	30.0	583,257,232,231,246,266	'Doc'
2c	255.0	51.0	9.0	255,61,55,49,51,49	NULL
2d	685.0	267.0	17.0	685,260,250,271,273,267	& Teller
3a	2369.0	886.0	77.0	2369,976,836,886,898,884	2 Days in New York
3b	2328.0	732.0	81.0	2328,687,703,808,744,732	300: Rise of an Empire
3c	3938.0	1168.0	105.0	3938,1237,1083,1155,1211,1168	& Teller 2
4a	930.0	442.0	133.5	930,442,385,355,459,548	5.1|& Teller 2
4b	868.0	275.0	90.0	868,261,299,246,275,388	9.1|Batman: Arkham City
4c	2319.0	673.0	391.0	2319,1002,673,580,926,566	2.1|& Teller 2
5a	832.0	340.0	114.5	832,331,311,340,462,409	NULL
5b	515.0	151.0	15.0	515,169,151,143,147,151	NULL
5c	2847.0	821.0	233.5	2847,689,674,825,1005,821	11,830,420
6a	3876.0	860.0	340.0	3876,990,860,1169,799,680	marvel-cinematic-universe|Downey Jr., Robert|Iron Man 3
6b	1665.0	744.0	110.0	1665,793,762,600,735,744	based-on-comic|Downey Jr., Robert|The Avengers 2
6c	2460.0	502.0	137.5	2460,428,502,526,385,562	marvel-cinematic-universe|Downey Jr., Robert|The Avengers 2
6d	2409.0	904.0	122.0	2409,937,1007,856,904,844	based-on-comic|Downey Jr., Robert|2008 MTV Movie Awards
6e	3575.0	897.0	81.5	3575,935,897,960,866,866	marvel-cinematic-universe|Downey Jr., Robert|Iron Man 3
