query	cold_ms	hot_median_ms	hot_iqr_ms	samples_ms	answer
1a	634.0	311.0	24.0	634,314,311,288,307,329	(A Warner Bros.-First National Picture) (presents)|A Clockwork Orange|1934
1b	580.0	314.0	17.0	580,305,310,318,331,314	(Set Decoration Rentals) (uncredited)|Disaster Movie|2008
1c	531.0	239.0	18.5	531,243,239,231,227,252	(co-production)|Intouchables|2011
1d	681.0	336.0	24.0	681,336,329,321,355,343	(Set Decoration Rentals) (uncredited)|Disaster Movie|2004
2a	659.0	374.0	27.0	659,368,370,374,378,414	'Doc'
2b	831.0	424.0	87.5	831,470,367,457,385,424	'Doc'
2c	504.0	147.0	37.5	504,127,161,169,147,128	NULL
2d	965.0	600.0	63.0	965,598,545,607,600,662	& Teller
3a	4320.0	1329.0	172.0	4320,1514,1388,1260,1329,1298	2 Days in New York
3b	3572.0	1002.0	102.0	3572,926,900,1021,1002,1009	300: Rise of an Empire
3c	4249.0	1436.0	246.0	4249,1672,1601,1407,1436,1374	& Teller 2
4a	1022.0	408.0	41.5	1022,429,408,390,432,388	5.1|& Teller 2
4b	882.0	368.0	262.0	882,364,333,368,382,839	9.1|Batman: Arkham City
4c	1803.0	1190.0	133.5	1803,1159,1190,1140,1274,1292	2.1|& Teller 2
5a	550.0	182.0	54.0	550,210,202,141,163,182	NULL
5b	3749.0	1639.0	657.0	3749,1342,1392,2131,1917,1639	NULL
5c	8375.0	3016.0	385.5	8375,2871,3016,3242,2869,3269	11,830,420
6a	5732.0	1829.0	1394.0	5732,2969,2898,1582,1497,1829	marvel-cinematic-universe|Downey Jr., Robert|Iron Man 3
6b	4583.0	1942.0	423.5	4583,1797,1790,1942,2260,2174	based-on-comic|Downey Jr., Robert|The Avengers 2
6c	3863.0	1173.0	277.5	3863,1498,1178,1173,1138,983	marvel-cinematic-universe|Downey Jr., Robert|The Avengers 2
