query	wall_ms	cpu_ms	scan_ms	join_ms	filter_ms	aggregate_ms	other_ms	rows_scanned	join_rows	prf_filters
1a	31.2	96.2	92.4	3.6	0.0	0.1	0.0	2538237	676	2
1b	15.8	28.2	25.8	2.1	0.2	0.0	0.1	2538237	20	2
1c	17.5	36.9	35.1	1.4	0.4	0.0	0.0	2538237	268	2
1d	15.9	30.5	29.0	1.2	0.2	0.0	0.0	2538237	24	2
2a	75.1	297.1	258.2	38.7	0.0	0.1	0.1	10030538	206058	2
2b	72.1	281.2	237.0	44.0	0.0	0.1	0.1	10030538	200846	2
2c	23.7	53.7	39.7	14.0	0.0	0.0	0.0	6613998	41838	1
2d	78.4	293.2	228.5	63.4	0.0	1.1	0.1	10030538	327022	2
3a	329.7	1130.9	925.5	197.1	7.3	0.1	0.9	20858609	82731	2
3b	203.8	891.6	881.6	6.7	3.2	0.0	0.1	20708195	1152	3
3c	298.9	1459.0	969.9	474.1	14.6	0.4	0.1	20858609	227556	2
4a	112.4	404.4	293.7	103.8	6.8	0.1	0.0	8566560	460491	3
4b	39.0	154.1	149.4	4.0	0.6	0.0	0.0	7890895	389	3
4c	156.6	504.4	298.4	196.8	9.0	0.2	0.0	8566560	752586	3
5a	43.6	163.4	154.6	6.8	1.9	0.0	0.1	5191609	65369	2
5b	287.7	945.2	837.1	3.7	104.3	0.0	0.0	14195927	0	2
5c	255.5	1169.1	1042.0	120.9	6.1	0.1	0.0	18734643	115120	3
6a	248.8	1234.5	1214.3	19.8	0.3	0.0	0.0	46434181	1255	3
6b	141.2	722.7	711.7	9.8	1.2	0.0	0.0	16806854	134266	4
6c	117.1	566.7	559.9	6.7	0.1	0.0	0.1	43907925	51	3
6d	227.2	1204.4	849.9	338.5	15.9	0.0	0.0	18076585	184059	3
6e	199.0	997.3	980.7	16.4	0.3	0.0	0.0	46434181	1255	3
6f	628.8	3386.3	1332.9	1991.4	21.1	39.4	1.5	47554452	1754837	3
7a	105.7	408.2	398.7	5.0	4.5	0.0	0.0	30573978	4146	5
7b	73.7	201.3	192.1	5.2	3.9	0.0	0.0	12384035	752	5
7c	289.3	1150.9	533.6	548.6	66.3	2.3	0.2	34383779	2036020	3
8a	115.6	496.7	475.0	8.4	13.1	0.1	0.0	14881854	35443	5
8b	105.8	400.4	380.6	14.0	5.7	0.0	0.1	13846735	35305	5
