query	cold_ms	hot_median_ms	hot_iqr_ms	samples_ms	answer
1a	296.6	29.0	10.6	297,29,46,29,26,28	(A Warner Bros.-First National Picture) (presents)|A Clockwork Orange|1934
1b	285.4	18.5	17.7	285,49,19,16,17,18	(Set Decoration Rentals) (uncredited)|Disaster Movie|2008
1c	337.1	75.9	16.0	337,91,85,72,76,73	(co-production)|Intouchables|2011
1d	191.0	20.5	2.6	191,18,23,20,21,20	(Set Decoration Rentals) (uncredited)|Disaster Movie|2004
2a	442.4	168.0	19.3	442,168,171,148,154,170	'Doc'
2b	361.0	124.7	12.1	361,147,125,124,124,125	'Doc'
2c	137.5	14.3	2.3	138,16,16,13,14,14	NULL
2d	613.7	250.5	37.1	614,312,255,246,251,247	& Teller
3a	4072.9	1693.8	239.1	4073,1910,1694,1793,1630,1594	2 Days in New York
3b	2053.0	830.4	111.2	2053,830,785,811,922,896	300: Rise of an Empire
3c	4326.3	2897.1	413.9	4326,3078,2897,2805,2781,3336	& Teller 2
4a	813.2	304.9	43.9	813,338,317,278,290,305	5.1|& Teller 2
4b	330.3	50.4	9.8	330,66,48,50,49,50	9.1|Batman: Arkham City
4c	1542.9	711.2	62.4	1543,775,702,711,745,694	2.1|& Teller 2
5a	334.0	83.6	82.1	334,92,84,75,77,224	NULL
5b	224.7	70.7	4.6	225,71,65,73,70,72	NULL
5c	3637.2	1496.1	218.6	3637,1743,1469,1359,1522,1496	11,830,420
6a	1267.2	605.4	36.1	1267,638,587,605,603,625	marvel-cinematic-universe|Downey Jr., Robert|Iron Man 3
6b	1335.0	309.5	97.2	1335,439,299,333,310,279	based-on-comic|Downey Jr., Robert|The Avengers 2
6c	893.6	218.7	103.1	894,370,219,199,230,196	marvel-cinematic-universe|Downey Jr., Robert|The Avengers 2
6d	1301.6	693.7	138.0	1302,866,755,694,674,671	based-on-comic|Downey Jr., Robert|2008 MTV Movie Awards
6e	1206.6	723.2	74.0	1207,716,776,702,790,723	marvel-cinematic-universe|Downey Jr., Robert|Iron Man 3
6f	2013.8	1064.7	134.7	2014,1238,1086,1013,1042,1065	based-on-comic|"Steff", Stefanie Oxmann Mcgaha|& Teller 2
7a	792.5	240.0	44.0	792,289,221,244,240,224	Antonioni, Michelangelo|Dressed to Kill
7b	449.1	108.3	25.3	449,137,120,108,101,105	De Palma, Brian|Dressed to Kill
