query	cold_parse	cold_bind	cold_rewrite	cold_optimizer	cold_physical	cold_execute	cold_frontend	cold_fastest	warm_parse	warm_bind	warm_rewrite	warm_optimizer	warm_physical	warm_execute	warm_frontend	warm_fastest	load
q1	66.1	340.4	79.9	37.0	369.2	1338.9	523.4	471.5	60.2	91.7	17.8	17.0	35.3	979.9	185.9	122.2	1.99
q2	93.8	410.1	113.6	42.0	464.1	11331.4	671.5	601.9	115.0	151.5	33.9	27.9	75.1	8661.7	341.8	303.9	1.91
q3	119.3	401.5	106.5	40.0	386.8	41786.6	665.1	556.1	135.0	136.8	29.8	26.8	55.7	37609.7	319.4	281.7	1.91
q4	75.4	409.3	81.4	36.5	413.3	39429.6	592.1	531.8	97.2	136.1	27.6	25.7	62.3	30529.1	290.3	237.8	1.91
q5	81.4	343.7	77.3	34.4	333.3	292277.9	513.3	489.0	98.6	140.3	27.5	27.2	62.3	213544.3	301.1	247.1	1.91
q6	73.4	369.2	97.0	48.4	531.8	359643.4	583.0	565.8	96.7	141.9	31.2	38.2	69.1	338775.1	313.0	264.7	1.84
q7	101.7	354.3	101.1	45.9	375.2	7508.8	617.4	557.6	110.6	142.6	30.1	29.1	57.9	4676.0	321.5	252.9	1.77
q8	152.6	637.3	115.7	94.8	475.4	15387.1	1044.3	873.6	161.0	162.5	38.9	62.8	88.1	11866.1	436.7	394.5	1.71
q9	130.0	625.8	108.6	75.8	396.6	169302.8	952.2	901.1	146.7	174.9	31.9	78.3	76.5	139774.8	418.5	369.9	1.71
q10	202.9	744.0	126.2	82.6	390.1	259965.8	1161.6	943.3	201.5	191.7	37.4	74.9	95.9	223035.8	520.0	402.2	1.71
q11	148.3	648.8	116.5	103.9	451.0	54837.1	1006.1	982.1	145.2	155.2	38.4	42.8	78.0	42669.3	389.5	352.5	1.65
q12	144.0	604.2	113.2	83.0	473.2	70898.2	945.5	899.6	173.3	161.2	39.5	45.1	85.2	56369.1	427.7	355.9	1.65
q13	147.8	619.1	106.5	250.0	435.4	53772.6	1124.4	984.1	166.6	146.9	34.8	43.5	92.0	41246.6	391.8	318.6	1.60
q14	149.7	679.1	111.8	283.5	492.1	292155.9	1229.7	1052.9	164.4	160.9	37.5	43.4	82.4	246394.3	397.4	354.1	1.60
