113 queries, 5 processes of 1 cold and 3 warm statements, threads=1, settings none, gate below a load of 6, times in us
query	cold_parse	cold_bind	cold_rewrite	cold_optimizer	cold_physical	cold_execute	cold_frontend	cold_fastest	warm_parse	warm_bind	warm_rewrite	warm_optimizer	warm_physical	warm_execute	warm_frontend	warm_fastest	load
1a	314.5	294.4	207.7	37.5	455.9	165188.4	875.8	772.9	314.3	147.3	118.3	24.9	111.1	124905.3	615.1	515.3	0.47
1b	288.5	251.8	193.0	32.0	448.7	156258.3	776.5	701.5	285.2	150.7	116.9	25.3	118.9	121856.2	600.1	484.7	0.47
1c	302.9	277.0	218.1	33.7	423.1	108451.1	844.8	705.7	312.4	143.1	110.6	23.3	112.9	72913.9	590.8	482.7	0.67
1d	344.3	263.0	198.6	36.7	516.7	161269.1	842.7	647.5	281.4	144.6	111.3	24.3	112.2	127296.1	564.3	488.6	0.67
2a	214.9	297.7	178.1	35.0	372.0	103853.4	722.8	695.1	225.1	141.1	95.5	23.4	89.4	68645.6	489.4	427.1	1.58
2b	227.9	272.1	176.0	34.4	381.7	109336.7	722.3	682.7	237.9	141.3	96.4	23.4	90.1	66443.1	510.5	410.6	1.58
2c	222.9	284.1	183.7	33.6	366.8	61089.2	724.2	661.2	216.9	138.6	95.1	23.1	88.8	50078.4	482.1	421.4	1.58
2d	242.5	333.9	173.6	30.0	375.0	106530.9	800.0	587.2	212.2	123.2	95.6	21.6	76.7	78251.0	446.5	409.2	2.42
3a	276.0	268.8	207.8	36.5	444.5	2347305.4	791.2	735.5	263.2	139.4	106.8	25.7	111.6	1484910.5	522.3	451.5	3.38
3b	212.9	304.3	197.8	33.2	458.0	1490833.8	756.4	653.3	219.6	155.1	97.8	21.7	110.6	769013.4	516.8	407.3	2.57
3c	274.3	262.4	192.5	34.4	474.7	3070263.9	756.7	688.7	290.1	151.5	121.8	25.9	128.6	2121873.3	600.0	493.0	2.12
4a	294.2	257.3	194.7	34.6	466.7	175386.6	782.0	709.6	278.5	148.9	108.6	24.4	118.4	129250.5	567.1	459.6	2.66
4b	281.5	263.1	195.1	35.7	476.5	112483.2	775.9	670.9	268.3	148.3	109.4	24.8	118.8	78726.7	563.8	448.9	3.09
4c	317.7	261.8	199.0	34.4	529.7	188254.2	795.4	665.2	262.6	152.1	108.8	25.4	124.8	132260.4	550.5	467.9	3.09
5a	324.2	257.9	228.8	35.8	461.6	68368.6	858.4	778.4	307.4	149.2	120.9	25.1	121.7	52151.0	609.9	504.6	2.92
5b	288.5	263.3	211.1	35.6	477.6	73446.2	850.4	638.8	285.2	151.3	124.1	26.0	127.8	52453.5	603.3	491.5	2.92
5c	332.3	309.7	252.8	38.7	482.2	2948985.8	939.2	880.8	324.8	157.2	145.0	27.1	139.8	2104293.8	664.9	539.0	2.92
6a	272.6	316.7	165.1	35.5	530.0	926177.9	779.1	720.6	278.4	188.7	109.4	24.3	141.2	760494.5	581.9	513.9	2.23
6b	363.4	314.0	216.6	36.5	526.9	901343.3	912.9	814.3	315.7	182.4	128.2	24.1	147.2	699697.9	644.1	563.8	1.88
6c	289.8	307.1	208.0	47.5	514.6	886679.6	841.7	703.0	294.6	182.0	109.2	24.9	143.2	770837.3	626.7	544.9	1.68
6d	340.4	352.9	205.6	38.3	506.6	1177188.2	936.3	799.0	363.2	219.0	152.2	27.4	189.1	921453.5	766.8	582.9	1.53
6e	294.6	334.3	181.9	36.9	499.0	1102982.4	826.9	761.6	283.0	194.5	111.2	24.7	148.9	832503.4	633.1	520.3	1.50
6f	335.1	304.8	214.0	37.0	447.7	1670015.5	935.1	813.1	306.2	201.7	121.4	25.5	137.1	1195245.7	654.9	550.0	1.39
7a	444.5	404.3	283.0	33.9	561.9	890978.7	1143.0	1040.5	454.5	260.0	179.4	27.1	182.5	718336.6	903.8	776.4	1.39
7b	416.2	431.4	241.1	35.3	541.2	532291.6	1143.6	1127.9	425.3	285.9	185.2	26.4	191.2	410835.6	920.0	702.8	1.31
7c	534.3	408.5	347.3	98.9	584.8	2289956.6	1429.4	1235.3	526.2	291.5	238.7	92.7	219.4	1132938.8	1177.9	888.6	1.29
