
### harness wall, median of the 3 hot tries

| query | duckdb | rudb | best rival | rudb / best rival |
| --- | ---: | ---: | ---: | ---: |
| q01 | 161.2 ms | 84.0 ms | duckdb | 0.52x |
| q02 | 80.7 ms | 40.7 ms | duckdb | 0.50x |
| q03 | 162.2 ms | 102.4 ms | duckdb | 0.63x |
| q04 | 161.5 ms | 104.0 ms | duckdb | 0.64x |
| q05 | 181.1 ms | 104.1 ms | duckdb | 0.57x |
| q06 | 121.1 ms | 40.7 ms | duckdb | 0.34x |
| q07 | 181.4 ms | 82.8 ms | duckdb | 0.46x |
| q08 | 182.1 ms | 104.4 ms | duckdb | 0.57x |
| q09 | 365.7 ms | 244.2 ms | duckdb | 0.67x |
| q10 | 243.2 ms | 123.9 ms | duckdb | 0.51x |
| q11 | 60.5 ms | 40.6 ms | duckdb | 0.67x |
| q12 | 181.1 ms | 125.1 ms | duckdb | 0.69x |
| q13 | 245.2 ms | 165.2 ms | duckdb | 0.67x |
| q14 | 161.4 ms | 60.9 ms | duckdb | 0.38x |
| q15 | 160.9 ms | 60.7 ms | duckdb | 0.38x |
| q16 | 122.7 ms | 62.6 ms | duckdb | 0.51x |
| q17 | 141.4 ms | 62.0 ms | duckdb | 0.44x |
| q18 | 263.7 ms | 143.1 ms | duckdb | 0.54x |
| q19 | 161.1 ms | 43.9 ms | duckdb | 0.27x |
| q20 | 162.1 ms | 81.0 ms | duckdb | 0.50x |
| q21 | 222.9 ms | 305.2 ms | duckdb | 1.37x |
| q22 | 80.9 ms | 40.7 ms | duckdb | 0.50x |
| total | 3.80 s | 2.22 s | | |

rudb / best rival: geomean 0.53x, best 0.27x, worst 1.37x, at or under 0.1x on 0 of 22, under 1x on 21

### engine clock, median of the 3 hot tries

| query | duckdb | rudb | best rival | rudb / best rival |
| --- | ---: | ---: | ---: | ---: |
| q01 | 118.0 ms | 71.1 ms | duckdb | 0.60x |
| q02 | 35.0 ms | 16.8 ms | duckdb | 0.48x |
| q03 | 109.0 ms | 84.7 ms | duckdb | 0.78x |
| q04 | 115.0 ms | 73.6 ms | duckdb | 0.64x |
| q05 | 133.0 ms | 78.3 ms | duckdb | 0.59x |
| q06 | 73.0 ms | 16.2 ms | duckdb | 0.22x |
| q07 | 137.0 ms | 58.1 ms | duckdb | 0.42x |
